nama,review
salma sisil,"baristanya sebagian mukanya jutek, mmg pribumi dia layani tp yg di liat good looking & good harta ji kl selain itu nda ramah skl, nda bisa di training itu kah pelayanannya? sy juga liat sbgian org2 riview tentang pelayanannya yg bad brrt di situ yg kurang."
Tiar Rachmadhan,"One of the Great place to hangout with friends and family in The middle of Makassar City, with live music available at night 😊"
Pieth Lelapary,keren dan nyaman cafenya
Lusia Gurumada,"Bertempat di jl. Sultan Hasanudin, lokasi stratevis. Tempatnya azik, bwr AC tapi boleh merokok. Makanan enak, minumanjuga enak
Rekomen deh tempanya"
Michaela Vergunst,We had a great time there. The coffee was good and the snacks too.
Nurul Fahmy Amri,"Harganya affordable, sea salt caramelnya mantap, suasananya enak gak berisik cocok buat persinggahan melepas lelah habis bekerja seharian."
Samuel Limputra,"Tempatnya cozy, makanannya enak dan affordable sm pelayanannya jga baguss. Bisa main kartu jadi seru buat nongki sama temen"
yus Lsantri,malming disini nyaman suasana..sayangnya live music nya terlalu cepat berakhir hanya sampe jam 10.. mungkin next bisa sampe jam 00.00
Pierre Martin,"Nice place, nice food and coffee, but if you don't like cigarette smoke and/or smell when eating or drinking, don't go there.
I was told they will look into creating a  free smoking area."
blogcious,"Makanannya enak, yang saya suka di sini nasi gorengnya. Yang kurang hanya bagian non-smoking area dengan smoking area tidak terpisah. Minumannya variatif, untuk harga lumayan pricey."
Fadel Risky,Tempatnya asik dan seru ada waiters yang namanya tommy lucu banget klau ketemu dia disana kasih tips pasti dapat cerita lucu
Wanny Wangasal,Makanan dan minumannya mantap 👍 …
Tri Sutrisna SDL,Tempat nongki yg asyik bareng teman dan keluarga
achmad rifai Pandin,"Makanan dan minumannya enak, khususnya pizzanya.
Tapi sudah dua kali seperti tidak dilayani dengan baik, kami minta tempat yg lebar karena akan pesan banyak dan rencana untuk main laptop, namun dikasih meja bulat yang hanya cukup untuk makanan dan minuman."
nadia gaming,Gagal move on dari es the chu onkle john's....segar....recomended
Hamka Didit Ardiansyah,The best place in town
Mari L A,"Recomended cafe to visit in Makassar city
I like the atmosphere there , they have good food and drink . Their staff friendly to customers."
Nadia,mantappp matcha nya
Yanti Hi Nontji,Gorengannya mantap👍 …
Maya Rumantir,Karyawannya ramah dan makannnya enak
Rahma Wati45,"Suasana adem,buat acara ultah,arisan bagus ini, makanannya enak ....."
eric tsu,"Roti kaya isiannya sedikit banget, tipis tipis gitu. Kopi onkel johnnya B aja sih, not really my taste.
Saat pembayaran ada pembulatan (ribuan) harga keatas tanpa konfirmasi, meskipun bayar pakai digital payment."
Hadi Purnomo,"Lokasi strategis, tempatnya bagus, hanya saja bagi saya secara pribadi agak kurang nyaman nongkrong di cafe ini"
Ibrahim Ms,Good vibes😍 cocok buat nugas apalagi sama doi
Neegy Zomzom,"Friendly place to stop and drink a coffee (delicious cappuccino and moccachino btw)
Staff are super nice, easy to order in English, well if you are looking for a …"
Verena Winderlich,"Beautiful place, very hip! I had a vegan pizza with spinach and tomato, which wasn't on the menu, but they made it specially for me! It was delicious. I could get a dragon fruit drink without milk."
alniysf,"pelayan nya ramah,barista yg tinggi juga gabteng adem diliat hehe"
Trisucy Julia,Tempatnya nyaman buat nongkrong...makanannya enak karyawannya asik
Muh Alif,Pelayanan lama sekalai. Ampun ini tempat. Tidak direkomendasi
