,name,rating,num_reviewers,type,lat,long
79,RUKO Warung Kopi (ex Turbo),4.3,66,Coffee shop,-5.1543148,119.4396243
81,Point Coffee,4.5,108,Coffee shop,-5.163678,119.4453834
82,Warkop Panakukang,4.9,10,Coffee shop,-5.1565249,119.4467882
83,Kopi Lorong Makassar,4.8,5,Coffee shop,-5.1412962,119.4376911
85,Asia Coffee Shop by Sija,4.1,20,Coffee shop,-5.157658,119.4383802
86,Kopi Jendral,4.1,13,Coffee shop,-5.1562039,119.4474783
87,Kopi simore,5.0,11,Coffee shop,-5.1581153,119.453109
88,Warkop Sabila,4.4,472,Coffee shop,-5.1619318,119.454295
89,Duft Coffee Indonesia,4.8,73,Cafe,-5.1479834,119.4385163
90,Warkop Sitaba,4.6,261,Coffee shop,-5.157618,119.4449851
91,Kalong Coffee,0.0,0,Coffee shop,-5.1610806,119.4452125
92,Kopi 57,3.8,4,Coffee shop,-5.160689,119.4486053
93,Kopi Janji Jiwa Hertasning,4.2,350,Cafe,-5.1629205,119.4440772
94,Kopi Three,4.2,6,Coffee shop,-5.1576496,119.4499374
95,QnA Coffee&Eatery,4.3,19,Coffee shop,-5.1480153,119.4386618
96,SIJA PETTARANI,4.8,118,Cafe,-5.1467249,119.4393314
97,Teduh coffee Makassar,5.0,2,Coffee shop,-5.1619317,119.4542951
98,Mark Trees Cafe,4.6,924,Coffee shop,-5.1471596,119.4161301
99,AWM COFFEE HOUSE,5.0,9,Coffee shop,-5.1637398,119.4485196
100,Paskop.co,4.6,635,Coffee shop,-5.167445,119.431145
101,Cabana Coffee and Eatery,4.6,78,Coffee shop,-5.1753114,119.4554897
102,Kinawa Coffee,4.8,94,Coffee shop,-5.1496308,119.4353298
103,Coffee Solution,4.7,39,Coffee shop,-5.1761831,119.4574832
104,MOOVS from Tastea - Rappocini,4.9,49,Coffee shop,-5.1597965,119.4356554
105,Tamamito Coffee,4.9,68,Coffee shop,-5.1793896,119.4614204
106,JAJINI Co Brewing Space,4.9,54,Coffee shop,-5.1503931,119.431417
107,Kopi Break,4.8,118,Cafe,-5.1702429,119.4369989
