nama,rating,jumlah_reviewer,tipe,lat,long,alamat,kelurahan,kecamatan,kota
Kopi 2 SKS,4.9,131,Coffee shop,-5.1611758,119.4404319,"Jalan Stapak Pengayoman, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Masale,Panakkukang,Makassar
Kopi Beri Ruang,4.2,92,Cafe,-5.1583595,119.4524102,"Jalan Pandang Raya, Pandang, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
GAUL COFFEE PANAKKUKANG MAKASSAR,4.6,42,Cafe,-5.1545843,119.4397581,"Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Kopi TEMULAGI,5.0,10,Coffee shop,-5.1612522,119.4499805,"Jalan Pengayoman, Kompleks Pertokoan Toddoppuli Panakkukang Mas, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Malaku kopi,4.9,34,Coffee shop,-5.1546061,119.4396484,"Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Stasiun Kopi,4.4,266,Coffee shop,-5.1587475,119.454278,"Jalan Meranti, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Paropo,Panakkukang,Makassar
Nawa coffee,4.8,20,Coffee shop,-5.1580661,119.4448879,"Jalan Bougenville, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
TEMU KOPI PANAKUKKANG,4.2,5,Coffee shop,-5.1584724,119.4520363,"Jalan Pandang Raya, Pandang, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Panama House Coffee and Dining,4.3,136,Coffee shop,-5.1619054,119.4438483,"Jalan Bau Mangga, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
My Coffee (Vindhika Hotel),4.6,217,Coffee shop,-5.1590488,119.4440806,"Hotel Vindhika Kota Makassar, Jalan Bau Mangga, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
kopitoa topaz,4.8,36,Coffee shop,-5.1546563,119.4389011,"PARADE GUEST HOUSE, Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Cafe Rustic,4.5,127,Coffee shop,-5.1622092,119.4541098,"Kompleks Pertokoan Toddoppuli Panakkukang Mas, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Paropo,Panakkukang,Makassar
A Lot of Coffee,4.4,180,Coffee shop,-5.1394017,119.4488948,"Alfamidi Samping UMI, Jalan Urip Sumohardjo, Tubiriʼ, Panaikang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Panaikang,Panakkukang,Makassar
Kopi Silong,4.8,41,Coffee shop,-5.1543358,119.4393196,"Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Masagena Coffee,4.5,315,Coffee shop,-5.1590944,119.444681,"Indomaret, Jalan Bau Mangga, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Bawah Pohon Coffeelab,4.5,77,Coffee shop,-5.1659651,119.4495492,"Jalan Toddopuli Raya, Kassiʼ-Kassiʼ, Kassi-Kassi, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Kassi-Kassi,Rappocini,Makassar
Kopi Ballugu,4.7,85,Coffee shop,-5.1581227,119.451312,"Jalan Pandang Raya, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Secangkir Kopi,4.6,579,Coffee shop,-5.1611716,119.4404729,"Jalan Stapak Pengayoman, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Masale,Panakkukang,Makassar
Kedai Djaja,4.8,163,Coffee shop,-5.1616312,119.4531786,"Pasar Toddoppuli, Jalan Toddopuli Raya, Kompleks Pertokoan Toddoppuli Panakkukang Mas, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Paropo,Panakkukang,Makassar
Goffee Espresso & Toast,4.4,118,Coffee shop,-5.1628547,119.4445513,"ALFAMART HERTASNING, Jalan Letjen Hertasning, Paʼnyikkokang, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Pandang,Panakkukang,Makassar
KLIK! COFFEE PHOTONESIA,4.6,30,Coffee shop,-5.1659848,119.4494198,"teras kerzent, 2, Jalan Toddopuli Raya, Kassiʼ-Kassiʼ, Kassi-Kassi, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Kassi-Kassi,Rappocini,Makassar
Coffee - Q,4.4,280,Coffee shop,-5.1536071,119.438455,"PT. PILLAR REALTY, RUKO ROYAL A3, Jalan Topaz, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Kopi Kenangan - Panakkukang Mall,3.8,88,Coffee shop,-5.1575036,119.4460964,"Lotte Mart, Jalan Bougenville, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Kopiteori Studio,4.7,101,Coffee shop,-5.1373276,119.4102151,"Jalan Usman Jafar, Baru, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90171, Indonesia",Baru,Ujung Pandang,Makassar
Kopi Jaya,4.5,22,Coffee shop,-5.1553456,119.4393596,"HOTEL ASWIN INN, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
papiyocoffee,4.1,164,Cafeteria,-5.140607,119.450852,"Jalan Urip Sumoharjo, Karampuang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Karampuang,Panakkukang,Makassar
Warkop Ko Heng cabang Topaz,4.5,161,Coffee shop,-5.1549932,119.4394016,"WAROENG, Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Kopi Ujung Topaz,4.7,33,Coffee shop,-5.1549794,119.4394133,"WAROENG, Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
KOPI LATIMOJONG,4.7,46,Coffee shop,-5.1600865,119.4539132,"Jalan Toddopuli Raya, Kompleks Pertokoan Toddoppuli Panakkukang Mas, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Paropo,Panakkukang,Makassar
J.CO Mall Panakkukang,4.1,780,Coffee shop,-5.1572893,119.4481981,"Panakkukang Square, Jalan Adhyaksa, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
KOPI PATONRO,4.8,16,Coffee shop,-5.148998,119.4384144,"RS Sandi Karsa Makassar, Abdullah Daeng Sirua, Masale, Tamamaung, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar
Réims Coffee,4.5,15,Cafe,-5.1574411,119.4479794,"Mushalla PS, Jalan Adhyaksa, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
D'Koma Kedai Kopi dan Makanan,4.4,140,Cafe,-5.1608899,119.4458964,"PT. Gangking Raya Office Makassar, 23, Jalan Adhyaksa, Pandang, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
KOPI AROBI BAUMANGGA,4.4,54,Coffee shop,-5.1606994,119.4442599,"Jalan Bau Mangga, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Masale,Panakkukang,Makassar
Kopi Kenangan - SPBU 74.902.25 Pengayoman Makassar,4.9,35,Coffee shop,-5.158691,119.440237,"Pertamina, Jalan Pengayoman, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Masale,Panakkukang,Makassar
Kopi Raya,4.8,32,Cafe,-5.1660121,119.4495661,"Jalan Toddopuli Raya, Kassiʼ-Kassiʼ, Kassi-Kassi, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Kassi-Kassi,Rappocini,Makassar
Kopi Soe Makassar,4.5,421,Coffee shop,-5.150703,119.434493,"Jalan Pelita Raya, Ballaparang, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Ballaparang,Rappocini,Makassar
kopiteori,4.6,1597,Coffee shop,-5.1572607,119.4197325,"Jalan Beruang, Bonto Biraeng, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Bonto Biraeng,Mamajang,Makassar
Coffee Holic By Sija,4.4,33,Cafe,-5.158197,119.4482277,"Mushalla PS, Jalan Adhyaksa, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Citens Coffee,5.0,1,Coffee shop,-5.158152,119.448697,"Mushalla PS, Jalan Adhyaksa, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Kedai kopi ariana,4.7,51,Coffee shop,-5.1608429,119.4539014,"Kompleks Pertokoan Toddoppuli Panakkukang Mas, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Paropo,Panakkukang,Makassar
Amaly coffee,4.8,17,Coffee shop,-5.1387248,119.4391701,"Jalan Andi Pangeran Pettarani, Sinrijala, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Sinrijala,Panakkukang,Makassar
Kopi Janji Jiwa Jilid 462 Avira Hotel Panakkukang,4.1,172,Coffee shop,-5.1556621,119.4479028,"Avira Hotel, Jalan Adhyaksa Baru, Pandang, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Pandang,Panakkukang,Makassar
Warkop Sentral Kopi,4.3,54,Coffee shop,-5.160746,119.455039,"Jalan Anggrek, Kompleks Maizonette, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Paropo,Panakkukang,Makassar
TEMPAT NGOPI,4.8,59,Cafe,-5.1656583,119.4497163,"Jl. Toddopuli II, Perumnas Toddppuli, Paʼnyikkokang, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Pandang,Panakkukang,Makassar
Sains kopi,4.8,55,Coffee shop,-5.1665236,119.4534032,"Panakkukang Permai, Borong, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Borong,Manggala,Makassar
Warkop Bugis,4.6,856,Coffee shop,-5.1615405,119.4543071,"Kompleks Pertokoan Toddoppuli Panakkukang Mas, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Paropo,Panakkukang,Makassar
