X,name...2,rating,num_reviewers,type...5,lat,long,address,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,class,type...16,place_rank,importance,addresstype,name...20,amenity,road,hamlet,suburb,city_district,city,state,ISO3166-2-lvl4,region,ISO3166-2-lvl3,postcode,country,country_code,boundingbox,residential,shop,tourism,commercial,house_number,building,district,office,village,retail,neighbourhood,leisure,historic,municipality,town,county,man_made,place,industrial,healthcare,city_block
10,Kaori Coffee,4.9,65,Coffee shop,-5.1594614,119.4442301,"Jalan Bau Mangga, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",24873273,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,42500915,-5.1594706,119.4442976,highway,tertiary,26,0.053388335240711,road,Jalan Bau Mangga,,Jalan Bau Mangga,,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90231,Indonesia,id,-5.1626377|-5.1588720|119.4438527|119.4443791,,,,,,,,,,,,,,,,,,,,,
11,Kopiteori Boulevard,4.3,68,Coffee shop,-5.1553447,119.4401516,"WARKOP SAMI, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",24712500,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,350330270,-5.1552925,119.4399494,amenity,cafe,30,5.50019073776916e-05,amenity,WARKOP SAMI,WARKOP SAMI,Jalan Boulevard,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92300,Indonesia,id,-5.1554174|-5.1552195|119.4398599|119.4400391,,,,,,,,,,,,,,,,,,,,,
12,Squid Coffee,4.9,715,Coffee shop,-5.1545807,119.4410442,"Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",24965149,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,578265895,-5.1546600,119.4410369,highway,residential,26,0.053388335240711,road,Jalan Topaz Raya,,Jalan Topaz Raya,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92300,Indonesia,id,-5.1546812|-5.1546373|119.4407915|119.4412664,,,,,,,,,,,,,,,,,,,,,
13,Kopiology,4.6,214,Cafe,-5.1557168,119.4440397,"Jalan Boulevard Panakkukang Mas, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",24812978,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,227907164,-5.1556833,119.4440451,highway,service,27,0.0400550019073777,road,Jalan Boulevard Panakkukang Mas,,Jalan Boulevard Panakkukang Mas,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90231,Indonesia,id,-5.1557212|-5.1554601|119.4426714|119.4442787,,,,,,,,,,,,,,,,,,,,,
14,Kopi paste,4.7,86,Coffee shop,-5.1550661,119.4427948,"KEDAI MACCINA, Ance Daeng Ngoyo, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",24950808,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,957036457,-5.1550915,119.4428150,amenity,cafe,30,5.50019073776916e-05,amenity,KEDAI MACCINA,KEDAI MACCINA,Ance Daeng Ngoyo,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92300,Indonesia,id,-5.1551712|-5.1550120|119.4427475|119.4428863,,,,,,,,,,,,,,,,,,,,,
15,Kaori Coffee - Adyaksa17,4.9,277,Coffee shop,-5.1610008,119.4457964,"Warung Barokah 354, Jalan Adhyaksa, Pandang, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",24923245,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,3587220256,-5.1609900,119.4457054,amenity,restaurant,30,5.50019073776916e-05,amenity,Warung Barokah 354,Warung Barokah 354,Jalan Adhyaksa,,Pandang,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90231,Indonesia,id,-5.1610400|-5.1609400|119.4456554|119.4457554,,,,,,,,,,,,,,,,,,,,,
16,Titik Ngopi Cafe,4.7,71,Coffee shop,-5.1622897,119.4444597,"Jalan Adhyaksa, Pandang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",24827309,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,531183185,-5.1623463,119.4445113,highway,tertiary,26,0.053388335240711,road,Jalan Adhyaksa,,Jalan Adhyaksa,,Pandang,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90231,Indonesia,id,-5.1626885|-5.1596882|119.4441360|119.4473728,,,,,,,,,,,,,,,,,,,,,
17,PHOENAM,4.5,644,Coffee shop,-5.155147,119.4404195,"CHAMBERS SHOP, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",24726469,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,350352639,-5.1554940,119.4406664,shop,clothes,30,5.50019073776916e-05,shop,CHAMBERS SHOP,,Jalan Boulevard,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,92300,Indonesia,id,-5.1555345|-5.1553821|119.4405739|119.4407302,,CHAMBERS SHOP,,,,,,,,,,,,,,,,,,,
18,Kaganga Coffee - Boungenville,4.7,330,Coffee shop,-5.1584012,119.4448269,"Jalan Bougenville, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",24847105,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,190748757,-5.1584380,119.4449856,highway,tertiary,26,0.053388335240711,road,Jalan Bougenville,,Jalan Bougenville,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90231,Indonesia,id,-5.1588268|-5.1565472|119.4448954|119.4453147,,,,,,,,,,,,,,,,,,,,,
19,"Fore Coffee - Mall Panakkukang, Makassar",3.8,148,Coffee shop,-5.1577506,119.446921,"Mushola Panakukang Mall, Jalan Boulevard, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",24902929,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,895023486,-5.1576140,119.4466122,amenity,place_of_worship,30,5.50019073776916e-05,amenity,Mushola Panakukang Mall,Mushola Panakukang Mall,Jalan Boulevard,Masale,Masale,Panakkukang,Makassar,Sulawesi Selatan,ID-SN,Sulawesi,ID-SL,90231,Indonesia,id,-5.1576975|-5.1575276|119.4464926|119.4467520,,,,,,,,,,,,,,,,,,,,,
